#INFO,Created=1667883295508,,,StoreCategory,,, Indicates missing required fields,, Indicates missing item specific that will be required soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#INFO,Version=1.0,,Template=fx_category_template_EBAY_US,,,, Indicates missing recommended item specific,, Indicates item specific does not apply to this item/category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Action(SiteID=US|Country=US|Currency=USD|Version=1193),Custom label (SKU),ItemID,Category ID,StoreCategory,Title,Relationship,Relationship details,P:UPC,Start price,Quantity,Item photo URL,Condition ID,Description,Format,Duration,Immediate pay required,PostalCode,Max dispatch time,Shipping profile name,Return profile name,Payment profile name,C:Brand,C:MPN,WeightMajor,WeightMinor,WeightUnit,PackageDepth,PackageLength,PackageWidth,C:Type,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-l-pbk-pn-zy-25,,,,,Variation,Model=10G Combo|Fabric=Premium Synthetic Leather|Color=Pitch-Black|Pick-Pocket=No Pick-Pocket|Zipper Handle=Yes Zipper Handle,DoesNotApply,65.90,5,Pitch-Black=https://giggearcovers.com/ggcULD/01-gac-l-3000x1500.jpg|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-l-pbk-py-zn-25,,,,,Variation,Model=10G Combo|Fabric=Premium Synthetic Leather|Color=Pitch-Black|Pick-Pocket=Yes Pick-Pocket|Zipper Handle=No Zipper Handle,DoesNotApply,83.90,5,Pitch-Black=https://giggearcovers.com/ggcULD/01-gac-l-3000x1500.jpg|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-l-pbk-py-zy-25,,,,,Variation,Model=10G Combo|Fabric=Premium Synthetic Leather|Color=Pitch-Black|Pick-Pocket=Yes Pick-Pocket|Zipper Handle=Yes Zipper Handle,DoesNotApply,95.90,5,Pitch-Black=https://giggearcovers.com/ggcULD/01-gac-l-3000x1500.jpg|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-lg-pbk-pn-zn-25,,,,,Variation,Model=10G Combo|Fabric=Premium Synthetic Leather w/ Padding|Color=Pitch-Black|Pick-Pocket=No Pick-Pocket|Zipper Handle=No Zipper Handle,DoesNotApply,67.95,5,Pitch-Black=https://giggearcovers.com/ggcULD/01-gac-l-3000x1500.jpg|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-lg-pbk-pn-zy-25,,,,,Variation,Model=10G Combo|Fabric=Premium Synthetic Leather w/ Padding|Color=Pitch-Black|Pick-Pocket=No Pick-Pocket|Zipper Handle=Yes Zipper Handle,DoesNotApply,79.95,5,Pitch-Black=https://giggearcovers.com/ggcULD/01-gac-l-3000x1500.jpg|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-lg-pbk-py-zn-25,,,,,Variation,Model=10G Combo|Fabric=Premium Synthetic Leather w/ Padding|Color=Pitch-Black|Pick-Pocket=Yes Pick-Pocket|Zipper Handle=No Zipper Handle,DoesNotApply,97.95,5,Pitch-Black=https://giggearcovers.com/ggcULD/01-gac-l-3000x1500.jpg|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-lg-pbk-py-zy-25,,,,,Variation,Model=10G Combo|Fabric=Premium Synthetic Leather w/ Padding|Color=Pitch-Black|Pick-Pocket=Yes Pick-Pocket|Zipper Handle=Yes Zipper Handle,DoesNotApply,109.95,5,Pitch-Black=https://giggearcovers.com/ggcULD/01-gac-l-3000x1500.jpg|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-c-pbl-pn-zn-25,,,,,Variation,Model=10G Combo|Fabric=Choice Waterproof Fabric|Color=Pacific-Blue|Pick-Pocket=No Pick-Pocket|Zipper Handle=No Zipper Handle,DoesNotApply,41.50,1,Pacific-Blue=https://giggearcovers.com/wp-content/ggcuploads/gac-pbl-01-c.jpg|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-c-pbl-pn-zy-25,,,,,Variation,Model=10G Combo|Fabric=Choice Waterproof Fabric|Color=Pacific-Blue|Pick-Pocket=No Pick-Pocket|Zipper Handle=Yes Zipper Handle,DoesNotApply,58.50,5,Pacific-Blue=https://giggearcovers.com/wp-content/ggcuploads/gac-pbl-01-c.jpg|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-c-pbl-py-zn-25,,,,,Variation,Model=10G Combo|Fabric=Choice Waterproof Fabric|Color=Pacific-Blue|Pick-Pocket=Yes Pick-Pocket|Zipper Handle=No Zipper Handle,DoesNotApply,76.50,5,Pacific-Blue=https://giggearcovers.com/wp-content/ggcuploads/gac-pbl-01-c.jpg|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-c-pbl-py-zy-25,,,,,Variation,Model=10G Combo|Fabric=Choice Waterproof Fabric|Color=Pacific-Blue|Pick-Pocket=Yes Pick-Pocket|Zipper Handle=Yes Zipper Handle,DoesNotApply,88.50,5,Pacific-Blue=https://giggearcovers.com/wp-content/ggcuploads/gac-pbl-01-c.jpg|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-cg-pbl-pn-zn-25,,,,,Variation,Model=10G Combo|Fabric=Choice Waterproof Fabric w/ Padding|Color=Pacific-Blue|Pick-Pocket=No Pick-Pocket|Zipper Handle=No Zipper Handle,DoesNotApply,62.55,5,Pacific-Blue=https://giggearcovers.com/wp-content/ggcuploads/gac-pbl-01-c.jpg|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
